Model,Category,Name,Price/Details,Image URL
Hybrid XLE,Exterior,Silver Sky Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4444/974/b8e2a46e674f097a5ef4800dcdd203d63d1489059d8ebc9945b9b86020ad391c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Interior,Black Fabric,Included,N/A
Hybrid XLE,Interior,Nutmeg Fabric,Included,N/A
Hybrid XLE,Interior,Ash Fabric,Included,N/A
Hybrid XLE,Engine,2.5L 4-Cyl. Hybrid Engine,Included,N/A
Hybrid XLE,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,N/A
Hybrid XLE,Drivetrain,All-Wheel Drive,Included,N/A
Hybrid SE,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4524/786/539d54ca39740fc8ba7eb50a8aa031fa0fa61357c74cb980b15119a7db00ac78.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid SE,Exterior,Wind Chill Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4524/503/5e812b2fb8faf693e54b04fdc817211aa70dc301f3fa96b0c29d24721b30bfda.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid SE,Exterior,Cavalry Blue,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4524/301/0bfd6ab53c6657a371509b0c81eaf43f36a3572d3c1e8d1bbaa4705b99659fbc.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid SE,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4524/373/c2b20bf542f606e80b8b3f58fd3aeb3db9adfdc7fb5b3a02f3b196d51c81409e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
