Model,Category,Name,Price/Details,Image URL
LE,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6303/220/65924eb46003d6e7bdf08662eaf05a98ce15ffab1ca78f66ccaeed9aa990f225.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Cypress,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6303/789/38ffb7a5c7a0ce4b01ecad0760c97fa2d16f500b6a116fa96a3463c6b7fff197.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Soul Red Crystal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6303/401/80327cd145d488b046d6ccee5117f5aa24fd525cb62f84eccf99b710ba230a40.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Jet Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6303/585/c4c14d59f340a2ce7f6a2ed88f13ddd3ce074d680252fc8493a9ff163112d506.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Sonic Silver,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6303/598/4ac0ae9e6d10de488890817c67fa722a6acb5bd19a8521ff66882210521c5884.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Blue Crush Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6303/154/beb903ba1dc3ffef5ff374fa0b1f0d4d98d094e4391bce7dba72a1cee50bd295.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Interior,Light Gray Fabric,Included,N/A
LE,Interior,Black Fabric,Included,N/A
LE,Engine,2.0L 4-Cyl. Engine,Included,N/A
LE,Transmission,Continuously Variable Transmission with intelligence and Shift Mode (CVTi-S),Included,N/A
LE,Drivetrain,Front-Wheel Drive,Included,N/A
LE,Drivetrain,All-Wheel Drive,"$1,300 MSRP",N/A
LE,Add-On,JBL® Premium Audio,$800 MSRP,N/A
XLE,Exterior,Celestite,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6305/6/b232d5e64ac00f4f01464b9f55098c492aad04b4bdd9bdd866965ce495ad7ac0.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6305/95/574f59afd9df6731c63db60c50fa9a45b066bf070d0fc06d8be535717c6511a4.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Cypress,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6305/306/c7b4787ac8bb228cd82d7b033bcf22faece0cf705457a20f6e8706d375bd2fa0.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Soul Red Crystal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6305/671/a48cd3bf3cbb3edda375ec107c2d1e2a832a3b31ab109d8dccbb1ccb1dedf6e2.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Jet Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6305/933/3778b2a556ab4cdbde8ee41a9c15f573f306deec460a56d86adeb9ee76229467.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Sonic Silver,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6305/394/29cc144a328c1c8a6b7e309cc6c61f7e7bfcbf2a0e675fa1a67baf094abcf302.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
