Model,Category,Name,Price/Details,Image URL
Hybrid XLE,Transmission,Electronically Controlled Continuously Variable Transmission (ECVT),Included,N/A
Hybrid XLE,Drivetrain,Front-Wheel Drive,Included,N/A
Hybrid XLE,Drivetrain,All-Wheel Drive,"$1,600 MSRP",N/A
Hybrid XLE,Add-On,Bench Seat,No Additional Cost,N/A
Hybrid XLE,Add-On,Panoramic Moonroof,"$1,350 MSRP",N/A
Hybrid Limited,Exterior,Storm Cloud,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6724/832/dca7d6103e4412f637fe7b35f8e7010119e996d338a402fd0c7f1897d5158579.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Exterior,Wind Chill Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6724/612/451b08bc72ca36592e9f851500866c3f03c9bf58c07cc342f4f4d775dc58b25a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Exterior,Coastal Cream,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6724/187/311ca663a3019957b42965ace587b33155ca386f5394705a3b89401b47dcc0b4.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6724/160/18f1d610ec1887f9f5c504ade1c76701730c320efc3f44a2020abe74caf49cfe.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Exterior,Ruby Flare Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6724/964/f0e5a97400313ffc67668765b3fc732240e4c29f6102bc5f7877b81ae08cbe90.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6724/273/1858ceb9d9f1535680c09c1b471f0c7a1ef854f0fff8a067ab1a7b78f0f04bbd.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6724/905/0576d1495d042ae3bdbba522706e2db828c418773a4147f55b9d50d50dee7344.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Interior,Black Leather,Included,N/A
Hybrid Limited,Interior,Light Gray Leather,Included,N/A
Hybrid Limited,Engine,2.5L 4-Cyl. Hybrid Engine,Included,N/A
Hybrid Limited,Transmission,Electronically Controlled Continuously Variable Transmission (ECVT),Included,N/A
Hybrid Limited,Drivetrain,All-Wheel Drive,Included,N/A
Hybrid Limited,Add-On,Bench Seat,No Additional Cost,N/A
Hybrid Limited,Add-On,Panoramic View Monitor,$600 MSRP,N/A
Hybrid Limited,Add-On,Panoramic Moonroof,"$1,350 MSRP",N/A
Hybrid MAX Limited,Exterior,Storm Cloud,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6730/953/f296ff019972f47f608a3b08210c225e80a38fd66231bcd5c96cb3a1a89651c7.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid MAX Limited,Exterior,Wind Chill Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6730/670/1e0943d67c3b3fc13daf32e01290c576bb5eba447589e597e7c738467e331874.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid MAX Limited,Exterior,Coastal Cream,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6730/64/ba1bb938087ad19742fdb6b9b6dbaa0ca6e621012cced8b917685344c78671d6.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid MAX Limited,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6730/563/08eccc73b07879a8980482eb50dc0a89119e84690ccde0e4409dfb55698e7b79.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid MAX Limited,Exterior,Ruby Flare Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6730/588/61d4e2948a533c19c4661dec2cc4aadde1f01eb4df8886c4747d81230a46fdba.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
