Model,Category,Name,Price/Details,Image URL
SE,Add-On,Front and Rear Parking Assist with Automatic Braking,$35 MSRP,N/A
XSE,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1237/494/1217bc964d86a7860cbb1fd933d8dbefc874cf3ae5512f2ab8f5e7c2d35824f2.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE,Exterior,Guardian Gray,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1237/588/ecf2b7343927dd9899349dc7e5c34c7721a882b12f8f28b226d99b2a334be622.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1237/955/d0810373dc2a3d4e8bdc74342e3ff9b6aaf2cc07348ca61e54fdf27bc0e0af01.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE,Exterior,Cutting Edge,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1237/488/984a9c38ba98c059a093195bd6625ba7f267e9b0e3732f173f7b2cafd6ec78e8.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1237/558/2bd7272e15cb141dc6eaf688d970b36f6acf8ca31466783c3786525380aa2885.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE,Exterior,Reservoir Blue,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1237/468/f42dfc843e2918477e354ba1efb861b781502a6fc8e6d75cd5ea936fe2bcf22a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE,Interior,Black and Red SofTex *,Included,N/A
XSE,Engine,2.0L 4-Cyl. Plug-in Hybrid,Included,N/A
XSE,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,N/A
XSE,Drivetrain,Front-Wheel Drive,Included,N/A
XSE,Add-On,Digital Key,$275 MSRP,N/A
XSE,Add-On,12.3-in. Toyota Audio Multimedia,$610 MSRP,N/A
XSE,Add-On,Fixed glass roof,"$1,000 MSRP",N/A
XSE Premium,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1239/310/9e9c255e07fbcc40e44333bbe1e4836ea151990ad4b3208865993b6aecb1f79b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE Premium,Exterior,Guardian Gray,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1239/304/4aa90e98e1746d96d25e6e0cfe47d8d572e7b6e526aebe7a70d5584c798920b0.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE Premium,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1239/562/bc1f303264aa193b91a4bdbc1e821c011027c4994b6ea57bd674ac5089a9b716.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE Premium,Exterior,Cutting Edge,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1239/14/12788bde121e0be1bfc3cc3e710c0c77b881334832fe30d57b681beed40933e5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE Premium,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1239/351/e121756f814812d845d96502e56297f2e02fbd819ebaf5e2f9c09e8fd870c83d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE Premium,Exterior,Reservoir Blue,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1239/817/4be1bf79ab972fbaabfaf77578df3937b76f1df4213c4d48178b027d9ef58873.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE Premium,Interior,Black and Red SofTex *,Included,N/A
XSE Premium,Engine,2.0L 4-Cyl. Plug-in Hybrid,Included,N/A
XSE Premium,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,N/A
XSE Premium,Drivetrain,Front-Wheel Drive,Included,N/A
XSE Premium,Add-On,Digital rearview mirror,$200 MSRP,N/A
XSE Premium,Add-On,Solar charging roof,$610 MSRP,N/A
XSE Premium,Add-On,Heated rear seats,$350 MSRP,N/A
