Model,Category,Name,Price/Details,Image URL
Hybrid Platinum,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6967/402/2d876ea2c24461ee632be4b94efaffd9839f9f9748c378f1b5422c96e8e78c85.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Platinum,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6967/200/9cb920986d96ff1f0a718253ac7cfe86382b667aa46551bd8f6259b1741f1c28.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Platinum,Exterior,Cypress,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6967/456/d1192e8819dea6934139f9af605145238179ef6bc1a186d52c6ca95095611704.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Platinum,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6967/709/785fce8528ef619807bc3f35ed0632d10c06674c1b660eaae7ac8c86f6c143f6.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Platinum,Exterior,Ruby Flare Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6967/345/e3b5e7a13901a9248c6b7740f861cb215041d82b11e8a5dd601bcaa1f141b33d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Platinum,Interior,Black Leather-trimmed,Included,N/A
Hybrid Platinum,Interior,Glazed Caramel Leather-trimmed,Included,N/A
Hybrid Platinum,Interior,Graphite Leather-trimmed,Included,N/A
Hybrid Platinum,Engine,2.5L 4-Cyl. Hybrid Engine,Included,N/A
Hybrid Platinum,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,N/A
Hybrid Platinum,Drivetrain,All-Wheel Drive,Included,N/A
